time,h,mean_energy,mean_velocity
0,0,0,0
2.2884e-06,9.5972,8.4163905748826e-20,344882.68818925
4.5768e-06,9.5972,8.4805292143227e-20,344876.55432115
6.8652e-06,9.5972,8.5646310797565e-20,346254.60269519
9.1536e-06,9.5972,8.4591498690266e-20,345858.37990158
1.1442e-05,9.5972,8.5104920985576e-20,347166.41581745
1.37304e-05,9.5972,8.5851462234079e-20,348403.18176486
1.60188e-05,9.5972,8.4717735161082e-20,345752.04764411
1.83072e-05,9.5972,8.5276610901728e-20,346692.53662975
2.05956e-05,9.5972,8.6072784612299e-20,349127.35796438
2.2884e-05,9.5972,8.5944599446473e-20,349965.15919735
2.51724e-05,9.5972,8.5889871821874e-20,349573.89835622
2.74608e-05,9.5972,8.6860231226773e-20,351257.67283077
2.97492e-05,9.5972,8.6520824111143e-20,350464.91207491
3.20376e-05,9.5972,8.5483123263117e-20,348254.79300805
3.4326e-05,9.5972,8.6503567238184e-20,351266.71695391
3.66144e-05,9.5972,8.6784850918226e-20,351977.14797778
3.89028e-05,9.5972,8.6175834029143e-20,348809.04987292
4.11912e-05,9.5972,8.6840965447942e-20,348208.65318093
4.34796e-05,9.5972,8.6915901877022e-20,348634.4358852
4.5768e-05,9.5972,8.6337221655458e-20,348761.22719894
4.80564e-05,9.5972,8.6853803161355e-20,351142.10555128
5.03448e-05,9.5972,8.7094329654421e-20,351960.9572608
5.26332e-05,9.5972,8.6602432149728e-20,350263.25514844
5.49216e-05,9.5972,8.6469457361048e-20,348667.36513953
5.721e-05,9.5972,8.7177397659616e-20,350400.97928473
5.94984e-05,9.5972,8.6664607496957e-20,349996.07825509
6.17868e-05,9.5972,8.6470273942335e-20,350233.59176985
6.40752e-05,9.5972,8.7065788264662e-20,351419.60340976
6.63636e-05,9.5972,8.6414579055479e-20,349949.45539746
6.8652e-05,9.5972,8.6905152547356e-20,350391.52466955
7.09404e-05,9.5972,8.714189395632e-20,351770.63861698
7.32288e-05,9.5972,8.6885774515947e-20,351649.58699879
7.55172e-05,9.5972,8.7144522468586e-20,351784.01642767
7.78056e-05,9.5972,8.7169715814522e-20,351485.03358523
8.0094e-05,9.5972,8.6871351777694e-20,351028.52594029
8.23824e-05,9.5972,8.6940034974412e-20,352238.86757362
8.46708e-05,9.5972,8.7461544356053e-20,353483.82344389
8.69592e-05,9.5972,8.7149653650223e-20,353074.253666
8.92476e-05,9.5972,8.7151784926972e-20,352685.98225559
9.1536e-05,9.5972,8.7365324302188e-20,351967.99265442
9.38244e-05,9.5972,8.6976402919357e-20,350999.3012898
9.61128e-05,9.5972,8.7129890333929e-20,351685.17425852
9.84012e-05,9.5972,8.6778820597592e-20,351181.68514714
0.0001006896,9.5972,8.703629172499e-20,352077.1337691
0.000102978,9.5972,8.7684226131928e-20,353609.82973104
0.0001052664,9.5972,8.7573826219177e-20,352551.85450231
0.0001075548,9.5972,8.7329601034056e-20,351198.75008609
0.0001098432,9.5972,8.7832747669117e-20,352178.24091724
0.0001121316,9.5972,8.7802671308284e-20,352283.23979101
0.00011442,9.5972,8.7465447010263e-20,351144.81697383
0.0001167084,9.5972,8.7613723181927e-20,351216.46998237
0.0001189968,9.5972,8.7992251290349e-20,352067.58550854
0.0001212852,9.5972,8.7848845572637e-20,351989.42343364
0.0001235736,9.5972,8.7919053398915e-20,351424.71462346
0.000125862,9.5972,8.8190256459376e-20,351953.85812769
0.0001281504,9.5972,8.7636554588663e-20,351603.63650405
0.0001304388,9.5972,8.8166590079062e-20,353722.73733065
0.0001327272,9.5972,8.8029872254898e-20,353903.12004208
0.0001350156,9.5972,8.6860697637164e-20,351131.10181154
0.000137304,9.5972,8.7979243328249e-20,352503.57121695
0.0001395924,9.5972,8.8142259720662e-20,352838.88736017
0.0001418808,9.5972,8.749960871925e-20,351163.6230563
0.0001441692,9.5972,8.8466473349674e-20,352672.77183415
0.0001464576,9.5972,8.7145397445306e-20,351199.67265996
0.000148746,9.5972,8.7417766615657e-20,353737.59102203
0.0001510344,9.5972,8.8173118885854e-20,355821.69053483
0.0001533228,9.5972,8.6965928980297e-20,351852.0554217
0.0001556112,9.5972,8.7659078897267e-20,350952.83460497
0.0001578996,9.5972,8.8285655511172e-20,353173.09067269
0.000160188,9.5972,8.8303418507102e-20,354645.95474504
0.0001624764,9.5972,8.7730735925461e-20,353734.04350218
0.0001647648,9.5972,8.8298713668656e-20,352900.05191228
0.0001670532,9.5972,8.8540123823873e-20,351638.1348742
0.0001693416,9.5972,8.8679330780087e-20,352492.43422707
0.00017163,9.5972,8.8617210633883e-20,353403.56367382
0.0001739184,9.5972,8.8891376216416e-20,354175.18064958
0.0001762068,9.5972,8.8268751993611e-20,353843.31117358
0.0001784952,9.5972,8.8205318062269e-20,353519.93251257
0.0001807836,9.5972,8.9146413403152e-20,354365.79005047
0.000183072,9.5972,8.8451498977258e-20,352801.68823283
0.0001853604,9.5972,8.870942398347e-20,353575.63824667
0.0001876488,9.5972,8.9305784283741e-20,354543.82385048
0.0001899372,9.5972,8.8680260544036e-20,354067.12228119
0.0001922256,9.5972,8.8360759641794e-20,353492.40456042
0.000194514,9.5972,8.9319097760231e-20,354778.44006379
0.0001968024,9.5972,8.9241304611814e-20,354507.00261985
0.0001990908,9.5972,8.8563676174205e-20,354198.62307022
0.0002013792,9.5972,8.8916444947125e-20,355119.66585515
0.0002036676,9.5972,8.8853401199471e-20,355249.26440961
0.000205956,9.5972,8.8998602674722e-20,355766.70504857
0.0002082444,9.5972,8.9174186693272e-20,355965.36128923
0.0002105328,9.5972,8.8970703623705e-20,355417.66961507
0.0002128212,9.5972,8.9130425353675e-20,355710.19621624
0.0002151096,9.5972,8.9282436773538e-20,356262.3304959
0.000217398,9.5972,8.8930856108567e-20,356656.62474888
0.0002196864,9.5972,8.9461333354634e-20,358461.73261353
0.0002219748,9.5972,8.8941991837383e-20,356724.28505731
0.0002242632,9.5972,8.8827799726019e-20,354256.30578469
0.0002265516,9.5972,8.9498318554605e-20,354280.2901516
0.00022884,9.5972,8.8937447934144e-20,353235.44089973
0.0002311284,9.5972,8.9013047817211e-20,353964.55731011
0.0002334168,9.5972,8.954848708733e-20,355116.20890229
0.0002357052,9.5972,8.945821216708e-20,354584.43936179
0.0002379936,9.5972,8.9657381800007e-20,354470.68664084
0.000240282,9.5972,8.9607509816278e-20,353916.48645968
0.0002425704,9.5972,8.9372026653266e-20,353551.01520555
0.0002448588,9.5972,8.9821242477659e-20,354725.24024047
0.0002471472,9.5972,8.9420906976294e-20,353873.12587921
0.0002494356,9.5972,8.9824965505898e-20,354159.16630093
0.000251724,9.5972,8.9830121983486e-20,353968.5011045
0.0002540124,9.5972,8.8990577381542e-20,352747.71946542
0.0002563008,9.5972,8.9556476977207e-20,354722.92515516
0.0002585892,9.5972,8.996776512032e-20,356198.3827837
0.0002608776,9.5972,8.9180848528228e-20,354214.17814254
0.000263166,9.5972,9.0056765945893e-20,355428.31508534
0.0002654544,9.5972,9.0306867772533e-20,357048.71211432
0.0002677428,9.5972,8.9294704543151e-20,355609.31523051
0.0002700312,9.5972,8.9581595846037e-20,355320.43766219
0.0002723196,9.5972,9.0205917368338e-20,356978.26815548
0.000274608,9.5972,8.928654227928e-20,354487.75558338
0.0002768964,9.5972,8.9396514928793e-20,354713.63605038
0.0002791848,9.5972,9.0166310443151e-20,355860.15313989
0.0002814732,9.5972,8.9452778095484e-20,354755.98676471
0.0002837616,9.5972,8.9365388083413e-20,356695.60449013
0.00028605,9.5972,8.9968880497836e-20,358512.97974292
0.0002883384,9.5972,8.9218591412677e-20,355292.65515223
0.0002906268,9.5972,8.9696719728834e-20,353723.86693186
0.0002929152,9.5972,9.0322682814236e-20,354524.256016
0.0002952036,9.5972,8.967428442243e-20,353740.34892085
0.000297492,9.5972,9.0412970421415e-20,356504.71602012
0.0002997804,9.5972,9.0506877605722e-20,357097.99220321
0.0003020688,9.5972,8.9505850831583e-20,354549.43235922
0.0003043572,9.5972,9.0120669903409e-20,354840.30746198
0.0003066456,9.5972,9.0711218473172e-20,356165.20417393
0.000308934,9.5972,9.0357341955373e-20,357103.92945828
0.0003112224,9.5972,9.0800271217564e-20,358085.29005774
0.0003135108,9.5972,9.0554133566659e-20,356949.85615769
0.0003157992,9.5972,9.0210490382396e-20,355772.97970029
0.0003180876,9.5972,9.0767633696973e-20,356593.52149279
0.000320376,9.5972,9.0736356488468e-20,356488.77986744
0.0003226644,9.5972,9.1056996991577e-20,356876.10849543
0.0003249528,9.5972,9.0974076084424e-20,356580.86487268
0.0003272412,9.5972,9.0834211557178e-20,355691.00432902
0.0003295296,9.5972,9.0858794851588e-20,354561.88711218
0.000331818,9.5972,9.0946550729326e-20,353967.70737251
0.0003341064,9.5972,9.1250099251423e-20,354563.01026104
0.0003363948,9.5972,9.1362150103106e-20,354415.54315046
0.0003386832,9.5972,9.1147005391042e-20,353523.15810834
0.0003409716,9.5972,9.1295003812904e-20,353508.12444412
0.00034326,9.5972,9.1205757017529e-20,353810.3719341
0.0003455484,9.5972,9.1099052039448e-20,354790.15177685
0.0003478368,9.5972,9.1331088246223e-20,356840.24667835
0.0003501252,9.5972,9.1328188771258e-20,356741.53251338
0.0003524136,9.5972,9.1401711455978e-20,354538.14814394
0.000354702,9.5972,9.1481406656213e-20,353882.07173582
0.0003569904,9.5972,9.1701739822593e-20,355380.84108247
0.0003592788,9.5972,9.1222419269706e-20,355165.38937251
0.0003615672,9.5972,9.138718179513e-20,356114.64074363
0.0003638556,9.5972,9.1744606088539e-20,356560.16885014
0.000366144,9.5972,9.1907769641699e-20,356064.37038776
0.0003684324,9.5972,9.1592423982304e-20,354453.54018541
0.0003707208,9.5972,9.202076397117e-20,355180.76766387
0.0003730092,9.5972,9.1177604960996e-20,354442.77932636
0.0003752976,9.5972,9.1751844142573e-20,356185.06456589
0.000377586,9.5972,9.2123596893834e-20,356454.69533704
0.0003798744,9.5972,9.2301326635791e-20,355925.68317843
0.0003821628,9.5972,9.2172857801139e-20,354840.34511054
0.0003844512,9.5972,9.1531896619445e-20,354717.74193982
0.0003867396,9.5972,9.1421397483581e-20,356290.83199256
0.000389028,9.5972,9.2322999251537e-20,358679.12290242
0.0003913164,9.5972,9.1752812641113e-20,356402.93330786
0.0003936048,9.5972,9.2537910490282e-20,357041.07388422
0.0003958932,9.5972,9.2711235354225e-20,357323.2047617
0.0003981816,9.5972,9.2329470378599e-20,357696.91073512
0.00040047,9.5972,9.3085861444708e-20,359184.99881447
0.0004027584,9.5972,9.2802272243409e-20,357748.60857319
0.0004050468,9.5972,9.1219901224647e-20,355156.88101758
0.0004073352,9.5972,9.338139371518e-20,359877.7522663
0.0004096236,9.5972,9.3528957585959e-20,360340.4243141
0.000411912,9.5972,9.2906022152414e-20,358827.15343386
0.0004142004,9.5972,9.3916584394455e-20,359470.33698399
0.0004164888,9.5972,9.3158277222648e-20,357780.41229292
0.0004187772,9.5972,9.3277081598653e-20,358647.26869257
